# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.748606094,0.0407,0.7781,0.6051,0.987
0.751681823,0.0426,0.7771,0.6066,0.987
0.754855156,0.0436,0.7766,0.6086,0.988
0.759099844,0.0431,0.7766,0.6100,0.989
0.765566979,0.0465,0.7732,0.6095,0.986
0.770182709,0.0504,0.7727,0.6086,0.985
0.772698229,0.0514,0.7708,0.6110,0.985
0.775564271,0.0529,0.7713,0.6130,0.987
0.778487865,0.0539,0.7732,0.6149,0.989
0.781315469,0.0539,0.7732,0.6169,0.991
0.784062084,0.0544,0.7742,0.6179,0.992
0.786980573,0.0539,0.7723,0.6164,0.990
0.794131094,0.0553,0.7737,0.6174,0.991
0.799708281,0.0563,0.7732,0.6135,0.989
0.807401146,0.0592,0.7732,0.6169,0.991
0.813327813,0.0612,0.7737,0.6247,0.996
0.815864063,0.0636,0.7693,0.6291,0.996
0.821313073,0.0622,0.7683,0.6266,0.993
0.824777292,0.0641,0.7688,0.6262,0.994
0.827568854,0.0632,0.7688,0.6262,0.994
0.830680938,0.0622,0.7688,0.6242,0.992
0.833290417,0.0592,0.7679,0.6227,0.990
0.836537448,0.0583,0.7669,0.6232,0.990
0.839203229,0.0558,0.7679,0.6218,0.990
0.842188333,0.0534,0.7679,0.6213,0.989
0.847308386,0.0529,0.7683,0.6218,0.990
0.852352344,0.0544,0.7674,0.6257,0.992
0.855152292,0.0524,0.7669,0.6266,0.992
0.859474844,0.0534,0.7659,0.6276,0.992
0.862262604,0.0544,0.7649,0.6310,0.993
0.866415365,0.0568,0.7639,0.6315,0.993
0.871007656,0.0583,0.7610,0.6340,0.992
0.873851771,0.0592,0.7615,0.6350,0.993
0.878911198,0.0627,0.7610,0.6345,0.993
0.882646563,0.0641,0.7615,0.6379,0.995
0.895350417,0.0617,0.7595,0.6354,0.992
0.89824375,0.0588,0.7620,0.6350,0.994
0.912326771,0.0578,0.7635,0.6364,0.996
0.917997188,0.0421,0.7776,0.6501,1.014
0.923020156,0.0397,0.7815,0.6574,1.022
0.927566563,0.0373,0.7810,0.6657,1.027
0.933871302,0.0333,0.7810,0.6726,1.031
0.936721042,0.0348,0.7771,0.6740,1.029
0.940988542,0.0314,0.7723,0.6760,1.027
0.943547136,0.0329,0.7703,0.6740,1.024
0.948093333,0.0314,0.7654,0.6701,1.018
0.951253906,0.0338,0.7625,0.6687,1.015
0.955549688,0.0373,0.7610,0.6579,1.007
0.960484219,0.0436,0.7581,0.6486,0.999
0.96328375,0.0500,0.7556,0.6472,0.996
0.966210313,0.0553,0.7542,0.6486,0.996
0.969538229,0.0578,0.7542,0.6477,0.996
0.972412448,0.0617,0.7537,0.6467,0.995
0.976409427,0.0636,0.7542,0.6467,0.996
0.980873594,0.0671,0.7517,0.6467,0.994
0.985862917,0.0651,0.7522,0.6428,0.992
0.999050469,0.0636,0.7542,0.6428,0.993
1.010019531,0.0534,0.7635,0.6335,0.993
1.014637344,0.0504,0.7723,0.6301,0.998
1.018609844,0.0490,0.7742,0.6315,1.000
1.021849688,0.0495,0.7747,0.6325,1.001
1.025929531,0.0446,0.7786,0.6340,1.005
